accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
1887.1.50,1887-01-01,Lekythos type vessel,Etruscan,bucchero nero,red fired clay with black glaze,WCMA-ANCIENT,0.0
EL.70.2,,Untitled: anchored ship,Chinese?,watercolor (?) on rice paper,,WCMA-EASTERN,0.0
93.1.143.E,1993-01-01,Nail fragment (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.103,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.4.39,1994-01-01,Female portrait,after Henri de Toulouse-Lautrec,color reproduction,,WCMA Reserve Collection,0.0
48.2.4.A,1948-01-01,King's Rose China Cup,British,porcelain,rose china,WCMA-DEC ARTS,0.0
82.22.44.B,1982-01-01,Bowl with design,Chinese,porcelain,,WCMA-EASTERN,0.0
82.10.41,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
79.75.18,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.78,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.4.33,1994-01-01,"Cast of West Frieze V from the Elgin Marble Series, the Parthenon, Athens, Greece","P.P. Caproni and Brother, Plastic Arts",plaster,,WCMA Reserve Collection,0.0
93.1.172,1993-01-01,Seal with design impression,Sasanian?,granite,dark grey,WCMA-ANCIENT,0.0
77.63.55,1977-01-01,Statuette of female figure,Greek?,terracotta,,WCMA-ANCIENT,0.0
77.63.25.G,1977-01-01,Bead,Greek,gold,,WCMA-ANCIENT,0.0
61.19.1.L,1961-01-01,Amulet of Pataikos,Egyptian,faience,light green. Possibly Ptah-Seker-Osiris.,WCMA-ANCIENT,0.0
61.19.8,1961-01-01,Cat,Egyptian,bronze,,WCMA-ANCIENT,0.0
92.5.22,1992-01-01,Untitled: burning boat,Alfred-Louis Brunet-Debaines,etching on paper,,WCMA-PRINTS,0.0
94.1.62,1959,Corner cupboard,French?,wood | veneer,,WCMA-DEC ARTS,0.0
JE.1.I,1948-01-01,Horus (Falcon) amulet,Egyptian,amber,translucent yellow with dark orange/brown area,WCMA-ANCIENT,0.0
60.39.6.C,1960-01-01,Amulet of Apet,Egyptian,faience?,green/yellow color,WCMA-ANCIENT,0.0
TI.33,1930-01-01,Brocade panel,Italian,silk,white silk brocade with embroidered silk design of delicate colors,WCMA-DEC ARTS,0.0
RC.4.35,1994-01-01,Textile,American?,velvet,brown/henna color,WCMA Reserve Collection,0.0
RC.30.19.A,1959,Pitcher,American,glazed stoneware,,WCMA Reserve Collection,0.0
RC.81.3,2005-08-26,A Geisha-girl standing with green robe,Yeisan,woodblock print | paper,,WCMA Reserve Collection,0.0
93.1.146.F,1993-01-01,Fragment of finial (?) or ornament (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
46.5,1946-01-01,Liber Studiorum,Joseph Mallord William Turner,prints,See individual screens 46.5.1-44,WCMA-PRINTS,0.0
93.1.124,1993-01-01,Kohl Jar,Egyptian?,marble,,WCMA-ANCIENT,0.0
78.31.7,1978-01-01,Embroidered silk fragment,Chinese,embroidered silk,green figured silk ground with embroidery of butterflies and flowers in multicolored thread,WCMA-EASTERN,0.0
60.39.2.D,1960-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
48.2.4.I,1948-01-01,King's Rose Teapot,English?,porcelain,,WCMA-DEC ARTS,0.0
77.63.21,1977-01-01,Herakles Knot,Greek,gold?,,WCMA-ANCIENT,0.0
71.34,1971-01-01,Untitled portfolio,Olle Baertling,prints,see individual screens 71.34.A-E,WCMA-PRINTS,0.0
RC.33.5,1994-01-01,Horses Leading a Cart,Anonymous (American?),etching on paper,,WCMA Reserve Collection,0.0
93.1.23,1993-01-01,Stone with incised scene,Anonymous,stone,,WCMA-ANCIENT,0.0
59.21.9.M,1959-01-01,Wedjat Eye Amulet,Egyptian,faience,,WCMA-ANCIENT,0.0
RC.30.2.C,1959,Candle holder or Girondole?,Anonymous (American?),crystal,red and white with prisms,WCMA Reserve Collection,0.0
79.75.5,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.143.B,1993-01-01,Nail,Anonymous,bronze,,WCMA-DEC ARTS,0.0
79.75.82,1979-01-01,Pot Sherd,"Attic, Greek",ceramic,,WCMA-ANCIENT,0.0
59.21.13.C,1959-01-01,Ring,Egyptian,faience,blue-green,WCMA-ANCIENT,0.0
76.29.1,1976-01-01,Vessel in shape of seated figure,Mexican,baked clay,,WCMA-AMERINDIAN,0.0
56.16.34.B,1956-01-01,Ginger jug,Chinese,tin glazed earthenware,,WCMA-EASTERN,0.0
56.16.34.A,1956-01-01,Ginger jug,Chinese,tin glazed earthenware,,WCMA-EASTERN,0.0
TP.5,1944-01-01,Brocade with pattern of horsemen and foot attendants,Persian,silk,,WCMA-EASTERN,0.0
93.1.138,1993-01-01,Sculpture fragment,Anonymous,bronze,,WCMA-DEC ARTS,0.0
59.21.27,1959-01-01,Uraeus,Egyptian,wood,Mayer list says bronze,WCMA-ANCIENT,0.0
79.75.15,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
82.10.25,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
82.10.36,1982-01-01,Pot Sherd,Roman,ceramic,,WCMA-ANCIENT,0.0
79.75.100,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
94.8.9,1994-06-15,"Stetson Hall, West Facade",Louis Orr,etching,,WCMA-PRINTS,0.0
60.39.6.F,1960-01-01,Amulet of Apet,Egyptian,faience,,WCMA-ANCIENT,0.0
67.34.4,1967-01-01,Rheims Cathedral Rose Windows from the Nave,J. Alphage Brewer,etching on paper,,WCMA-PRINTS,0.0
94.24.21,1994-12-20,Sidewinder Neckpiece,Alexis Smith,"sterling silver, ruby, sapphire",,WCMA-DEC ARTS,0.0
85.10.2.A,1985-01-01,Study for Altarpiece,George Hawley Hallowell,watercolor on paper mounted on board,mounted to board (ao 7/25/95),WCMA-DRAWING,0.0
59.21.9.A,1959-01-01,Amulet of the Red Crown of Lower Egypt,Egyptian,faience,light green,WCMA-ANCIENT,0.0
53.41,1953-01-01,Small End Table,Spanish,walnut,,WCMA-DEC ARTS,0.0
94.1.3,1994-01-01,J.A. Garfield and Family,Anonymous (American),color lithograph on paper,,WCMA-PRINTS,0.0
RC.30.2.D,1959,Candle holder or Girondole?,Anonymous (American?),crystal,red and white with prisms,WCMA Reserve Collection,0.0
RC.30.2.A,1959,Candle holder or Girondole? with rose design,Anonymous (American?),crystal,red and white with prisms,WCMA Reserve Collection,0.0
RC.3.17,1991-01-01,Untitled,"David Sears Maclay, Jr.",magic marker and colored pencil on paper,,WCMA Reserve Collection,0.0
79.75.75,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.77.O,1993-01-01,Bowl,Syrian?,baked clay,Rough form. Possibly a mistake from a pottery studio. Possibly a lid.,WCMA-ANCIENT,0.0
93.1.142.G,1993-01-01,Fragment of a handle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
60.33.F,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
60.33.I,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
93.1.170.B,1993-01-01,Relief fragment with design,Egyptian,limestone,,WCMA-ANCIENT,0.0
60.33.G,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
60.33.J,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
56.16.21.A,1956-01-01,Pot with floral design,Italian,Majolica,,WCMA-DEC ARTS,0.0
RC.4.37,1994-01-01,Le déjeuner des canotiers,after Renoir,color reproduction,,WCMA Reserve Collection,0.0
92.5.123,1992-01-01,Patriotisme: Le Rempart de Verdun (from Les Grandes Vertus Françaises),Lucien-Hector Jonas,prints,,WCMA-PRINTS,0.0
79.75.125,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.124,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
RC.3.15,1991-01-01,Untitled,"David Sears Maclay, Jr.",magic marker and colored pencil on paper,,WCMA Reserve Collection,0.0
93.1.77.EE,1993-01-01,Pottery fragment,Syrian?,baked clay,rough form. Possibly a part of a larger piece which was not scored properly and came apart during firing. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
63.12,1963-01-01,Brocatelle,Venetian,brocatelle,red and gold color,WCMA-DEC ARTS,0.0
77.63.25.D,1977-01-01,Bead,Greek,gold,,WCMA-ANCIENT,0.0
93.1.47,1993-01-01,Intaglio with two figures,Anonymous,glass?,"transparent, yellow",WCMA-ANCIENT,0.0
TI.34,1994-01-01,Brocade,Italian,satin,"white satin brocade with blue and green silk embroidery, gold gimp border; with small floral sprays",WCMA-DEC ARTS,0.0
PA.109.B,1970-01-01,Still life with bird,Anonymous (American),oil on canvas,,WCMA-PAINTING,0.0
60.33.N,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
92.6.3,1992-06-25,Untitled: Robed figure holding tablet with calligraphy,Chinese,ink on rice paper,,WCMA-EASTERN,0.0
60.33.K,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
59.21.9.N,1959-01-01,Wedjat Eye Amulet,Egyptian,glass paste,dark brown,WCMA-ANCIENT,0.0
79.75.63,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
82.12,1982-01-01,Dower Chest,Indian,wood with embossed metal sheeting,,WCMA-EASTERN,0.0
93.1.73,1993-01-01,Flat bottomed Bowl with incising,Mesoamerican?,terracotta,brown with extensions on both sides for hanging cords; geometric design deeply and regularly incised over entire exterior surface,WCMA-AMERINDIAN,0.0
91.27.14,1991-01-01,Façade de la Cathedrale à Chartres,Adrian Chapuy,lithograph on paper,,WCMA-PRINTS,0.0
60.33.H,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
60.33.D,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
93.1.12.G,1993-01-01,Bird Amulet,Egyptian,faience,green glaze over ceramic. Possibly a dove.,WCMA-ANCIENT,0.0
76.37.15.D,1976-01-01,Cross Pendant,Macedonia,bronze,,WCMA-ANCIENT,0.0
60.33.E,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
93.1.77.KK,1993-01-01,Small vase,Syrian?,baked clay,rough form. Possibly a mistake from a pottery studio.,WCMA-ANCIENT,0.0
56.16.21.B,1956-01-01,Pot with floral design,Italian,Majolica,,WCMA-DEC ARTS,0.0
56.16.4.D,1956-01-01,"Cart decoration, ""Virgin in Glory""",Anonymous (Italian),painted wood,,WCMA-SCULPTURE,0.0
75.43.37,1975-01-01,Winged scarab,Egyptian,faience,rust and gold polychrome on blue,WCMA-ANCIENT,0.0
93.1.158,1993-01-01,Fragment of a tube (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
60.33.B,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
60.33.C,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
60.33.L,1960-01-01,Fragment of a Textile,Coptic,textile,,WCMA-DEC ARTS,0.0
79.75.50,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
79.75.49,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
93.1.134.B,1993-01-01,Arrowhead,Anonymous,bronze,,WCMA-ANCIENT,0.0
RC.33.4,1994-01-01,Untitled (Cross-section of a building),Brundage,painting,,WCMA Reserve Collection,0.0
79.75.74,1979-01-01,Pot Sherd,Greek,ceramic,,WCMA-ANCIENT,0.0
48.2.4.H,1948-01-01,King's Rose China Plate,British,porcelain,rose china,WCMA-DEC ARTS,0.0
59.21.10.D,1959-01-01,Wedjat Eye Amulet,Egyptian,faience,glazed,WCMA-ANCIENT,0.0
93.1.144.D,1993-01-01,Needle (?),Anonymous,bronze,,WCMA-DEC ARTS,0.0
73.61.G,1973,Triptypch,Byzantine,wood with polychrome and gilt,,WCMA-PAINTING,0.0
61.7.FRAME,1961,"Outer frame for ""Niagara Falls"" (reunited with painting in 2009)",William Morris Hunt,gilt frame,reunited with painting in 2009 - for CURRENT LOCN SEE PTG,EXH-Furniture,0.0
M.2009.15.4,2009-12-16,Helmet Mask,Makonde People,wood,"With slightly opened mounth, full and forward pointing beard and side coiffure areas, and brown pigment",WCMA-AFRICAN,0.0
M.2009.15.7,2009-12-16,Janus figure,Luba People,wood,"On a mounted base, with hands to the abdomens, body scarifications, narrow eyes, pigment, encrustation, and a fine patina",WCMA-AFRICAN,0.0
M.2009.15.8,2009-12-16,Bateba Figure,Lobi People,wood,"Early style, on a mound base, with hands to the thighs, long neck, domed head, darkened surface, encrustation, and a very fine patina",WCMA-AFRICAN,0.0
M.2009.15.9,2009-12-16,Staff with seated female and coiled snake,Nguni People,carved wood,"The shaft sculpted with a spiraling snake, surmounted by a seated female figure on a stool, and with a good patina",WCMA-AFRICAN,0.0
M.2009.15.10,2009-12-16,Shaft,East African,carved wood,"The shaft sculpted with two male and female half figures, with hands to the front, surmounted by a loop grasp and with a fine patina",WCMA-AFRICAN,0.0
M.2009.15.11,2009-12-16,Shaft,East African,carved wood,"The upper half sculpted with two heads and geometric design, surmounted by a geometric loop grasp, and with a good patina",WCMA-AFRICAN,0.0
M.2009.15.12,2009-12-16,"Poro Society Dance Horse, ""Syon""",Senufo People,carved wood,"Stool In the form of a standing horse, with back as the seat, long tail and neck, and a very fine and rich patina",WCMA-AFRICAN,0.0
M.2009.15.13,2009-12-16,Staff,African,carved wood,"Sculpted with the upper half of a male figure with his stretched arms above his head and held to the back of a globular grasp, with darkened surface and a fine patina",WCMA-AFRICAN,0.0
M.2009.16.2,2009-12-16,"Bush Cow Helmet Mask, Vabo Society",Mumuye People,carved wood,,WCMA-AFRICAN,0.0
M.2009.16.3,2009-12-16,Asho Mask,Kaleri People,"wood, abrus seeds, composite material, adhesive",,WCMA-AFRICAN,0.0
93.1.203,1993,Shawabtii,Egyptian,light green faience,,WCMA-ANCIENT,0.0
93.1.204,1993,Shawabtii,Egyptian,blue faience,,WCMA-ANCIENT,0.0
M.2009.8,2009-11-24,Barack Obama Africa's Hope,Joe Mensah,oil on flour sack,unstretched,WCMA-PAINTING,0.0
93.1.12.H,1993-01-01,Jackal Amulet (?),Egyptian,stone,,WCMA-ANCIENT,0.0
EL.2011.1.3,,"Mountain valley landscape with central villa, mountain paths, and scholar on a fishing boat",Huang Binhong,"hanging scroll, ink and colors on paper",,WCMA-EASTERN,0.0
EL.2011.1.7,,Landscape with Scholars Arriving by Donkey at a Country Villa,Lan Ying,"hanging scroll, ink and colors on silk",,WCMA-EASTERN,0.0
M.2016.26.17,2016-12-19,Woman and Dog on a Beach,Erich Fischl,lithograph,,WCMA-PRINTS,0.0
A.12.85,,"Chihuly - ""Installations"" (Exhibit Tape) Copy 1",Dale Chihuly,tape,,EXH-Furniture,0.0
A.12.86,,"Chihuly - ""Installations"" (Exhibit Tape) - Copy 2",Dale Chihuly,tape,,EXH-Furniture,0.0
RC.4.58,,Gilt mirror,Anonymous,gilt mirror,Louis XVI style,WCMA Reserve Collection,0.0
RC.4.60,,Hall mirror on pedestal with drawer,Anonymous,wood; mirror,2 parts (mirror and pedestal),WCMA Reserve Collection,0.0
RC.4.61.A,,Windsor sack back arm chair on wheels (desk chair),Anonymous,wood,,WCMA Reserve Collection,0.0
RC.4.62,,Vanity set with looking glass and stool (5 parts),Anonymous,mirror plated,Art Deco style; 5 pieces,WCMA Reserve Collection,0.0
RC.4.63,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.64,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.65.A,,Side chair,Anonymous,"wood, leather",green leather seat,WCMA Reserve Collection,0.0
RC.4.66,,Large chest (no carving or decoration),Anonymous,oak,lift top attached with chains inside,WCMA Reserve Collection,0.0
RC.4.67.A,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.68,,Upholstered arm chair,Anonymous,"wood, fabric",yellow upholstery,WCMA Reserve Collection,0.0
RC.4.69,,Arm chair,Anonymous,"wood, leather",green leather seat and back; Arts & Craft style,WCMA Reserve Collection,0.0
RC.4.70,,Tapestry arm chair,Anonymous,"fabric, wood",Queen Anne style,WCMA Reserve Collection,0.0
RC.4.71,,Arm chair with quatrefoil design,Anonymous,wood,,WCMA Reserve Collection,0.0
RC.4.72,,Side chair,Anonymous,"wood, leather",brown leather,WCMA Reserve Collection,0.0
RC.4.73,,Upholstered side chair,Anonymous,"fabric, wood","broken front legs, poor condition",WCMA Reserve Collection,0.0
RC.4.74,,Upholstered side chair,Anonymous,"wood, fabric",yellow; Empire style,WCMA Reserve Collection,0.0
RC.4.75,,Cabinet with tambour doors,Anonymous,wood,,WCMA Reserve Collection,0.0
RC.4.76,,Small table,Anonymous,wood,round; William & Mary style,WCMA Reserve Collection,0.0
RC.4.77,,Long chest with carved front,Anonymous,carved wood and wrought iron,,WCMA Reserve Collection,0.0
RC.4.61.B,,Windsor sack back arm chair on wheels (desk chair),Anonymous,wood,,WCMA Reserve Collection,0.0
RC.4.65.B,,Side chair,Anonymous,"wood, leather",green leather seat,WCMA Reserve Collection,0.0
RC.4.67.B,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.67.C,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.67.D,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
RC.4.67.E,,Arm chair,Anonymous,"wood, leather",,WCMA Reserve Collection,0.0
M.2002.1.2.B,,Windsor sack back arm chair,Anonymous (American),wood,,WCMA-DEC ARTS,0.0
A.1.863,2013-07-01,Portfolio of blank sheets,Maurice Brazil Prendergast,"paper, cardboard and burlap",contains blank sheets of water color papers,WCMA-Prendergast,0.0
WP.64,2013-07-31,Portrait of a man,Anonymous (American?),oil on panel,rice paper adhered to entire surface for paint stabilization,WCMA-PAINTING,0.0
A.43,2014-10-17,"Mechanical printing plate for ""The Stony Beach, Ogunquit""",Attributed to Prendergast,metal plate mounted to wood plaque,related to Catalogue Raisonné # P649,WCMA-Prendergast,0.0
A.44.1,,"Facsimile of ""Portrait of Andy Warhol"" polaroid",Andy Warhol's Factory,digital photograph of Polaroid Polacolor Type 108,facsimile,EXH-Furniture,0.0
A.44.2,,"Facsimile of ""Portrait of Andy Warhol"" polaroid",Andy Warhol's Factory,digital photograph of Polaroid Polacolor Type 108,facsimile,EXH-Furniture,0.0
A.44.3,,"Facsimile of ""Portrait of Andy Warhol"" polaroid",Andy Warhol's Factory,digital photograph of Polaroid Polacolor Type 108,facsimile,EXH-Furniture,0.0
A.44.4,,"Facsimile of ""Portrait of Andy Warhol"" polaroid",Andy Warhol's Factory,digital photograph of Polaroid Polacolor Type 108,facsimile,EXH-Furniture,0.0
A.44.5,,"Facsimile of ""Portrait of Andy Warhol"" polaroid",Andy Warhol's Factory,digital photograph of Polaroid Polacolor Type 108,facsimile,EXH-Furniture,0.0
M.2015.17.67,2015-10-05,Monument (Democratic Coffee Table with Fair Coffee Pot and Equal Coffee Cups),Mans Wrange,"coffee, porcelain, wood, cloth, plastic, electric pump",1 plastic bucket; 3 water pumps; 8 hoses; 1 porcelain teapot; 1 plastic tablecloth; 6 porcelain cups; 6 porcelain saucers; 1 wood table; 6 spare porcelain cups; Plexi base ,WCMA-SCULPTURE,0.0
M.2016.22.14,2016-11-17,Untitled,Ralph S. Iwamoto,mixed media on card,,WCMA-DRAWING,0.0
RC.83.26,2017-12-18,"Mogho Naba (""head of the world"") or King venerative or commemorative object",Mossi Cultural Group,stone,,WCMA Reserve Collection,0.0
RC.83.27,2017-12-18,"Mogho Naba (""head of the world"") or King commemorative or venerative sculpture",Mossi Cultural Group,stone,,WCMA Reserve Collection,0.0
RC.83.28,2017-12-18,"Mogho Naba (""head of the world"") or ??? venerative or commemoration object",Mossi Cultural Group,stone,,WCMA Reserve Collection,0.0
M.2017.17.7,2017-12-18,Beaded gourd basket surmounted by wooden stopper in form of duck,Tikar,"beads, gourd, fabric, vegetal fiber framing",,WCMA-AFRICAN,0.0
A.12.104,,"Andy Warhol's ""Blotted Line""",Andy Warhol,DVD,720 x 480 widescreen; continuous loop-dvd-standard; used for exhibition,EXH-Furniture,0.0
RC.83.78.1,2017-12-18,Necklace,African,metal and plastic beads with string and fishing line,There is no way to really pinpoint cultural group.geographic localities for these.,WCMA Reserve Collection,0.0
RC.83.85,2017-12-18,Salt from Sahara,African,salt with mineral deposits,undoubtedly a nomadic trade item,WCMA Reserve Collection,0.0
RC.83.108,2017-12-18,Plank mask w/checkerboard pattern,Bobo People,"wood with white clay (kaolin), red pigment (ochre), and black pigment (charcoal)",,WCMA Reserve Collection,0.0
M.2017.17.19,2017-12-18,Kenti cloth,Asante Cultural Group,silk,"made in Bonwire, Ghana",WCMA-AFRICAN,0.0
M.2017.17.20,2017-12-18,"Cotton woven cloth, Cotunu (Benin)",Benin,cotton,,WCMA-AFRICAN,0.0
RC.83.126,2017-12-18,Bedouin robe,Bedouin,,,WCMA Reserve Collection,0.0
RC.83.128,2017-12-18,Bedouin embroidered robe,Bedouin,,,WCMA Reserve Collection,0.0
RC.83.137,2017-12-18,Wax print wrapper,Ouagadougou,"traditional or ""pagne"" cloth (wax print)",,WCMA Reserve Collection,0.0
RC.83.203,2017-12-18,Assorted Books and VHS,African,"books, VHS tapes, photographs",21 items and some loose photos,WCMA Reserve Collection,0.0
RC.83.215,2017-12-18,Breakfast with Obama,Carolyn Newberger,fine art print,,WCMA Reserve Collection,0.0
RC.83.251.A,2017-12-18,"tub of periodicals, box 1/2",African,"periodicals, books, printed material","1 tub, 94 items total",WCMA Reserve Collection,0.0
95.4.36.FRAME,1995,"Frame for ""Two Figures by the Sea""",Attributed to Prendergast,gilt frame,frame for '95.4.36',WCMA-Prendergast,0.0
RC.83.210,2017-12-18,Axe/ tool,Mossi Cultural Group,wood and metal,1 of 3 pieces packed in 1 box,WCMA Reserve Collection,0.0
RC.83.211,2017-12-18,Axe/ tool,African,wood and metal,1 of 3 pieces packed in 1 box,WCMA Reserve Collection,0.0
RC.83.212,2017-12-18,Symbol poster,African,paper mounted to (plexi?) board,3 pieces packed in 1 box (with 2 axes/tools),WCMA Reserve Collection,0.0
RC.83.155.A,2017-12-18,Whistle,West African,"wood, leather, binding, and metal link",2 pieces total,WCMA Reserve Collection,0.0
RC.83.194,2017-12-18,Granary Door Lock Key,Dogon People,cast iron,,WCMA Reserve Collection,0.0
RC.83.216,2017-12-18,Ngoni Master,Carolyn Newberger,fine art print,,WCMA Reserve Collection,0.0
RC.83.218,2017-12-18,The Pot Sellers (larger poster print),Carolyn Newberger,fine art print,,WCMA Reserve Collection,0.0
M.2017.17.35,2017-12-18,Hanging Banner,Benin,"multiple fabrics, embroidery, and applique",,WCMA-AFRICAN,0.0
M.2017.17.38,2017-12-18,Wall Decoration,Benin,"multiple fabrics, embroidery, applique",,WCMA-AFRICAN,0.0
RC.83.78.2,2017-12-18,Necklace,African,metal and plastic beads with string and fishing line,There is no way to really pinpoint cultural group.geographic localities for these.,WCMA Reserve Collection,0.0
RC.83.78.3,2017-12-18,Necklace,African,metal and plastic beads with string and fishing line,There is no way to really pinpoint cultural group.geographic localities for these.,WCMA Reserve Collection,0.0
RC.83.155.B,2017-12-18,Whistle,West African,"wood, leather, binding, and metal link",2 pieces total,WCMA Reserve Collection,0.0
RC.4.26.A,2017,Statues of the Columns by Alois Hauser / Greek-Ionian order / Temple of the Athena-Polias in Priene,Alois Hauser,print on paper mounted to canvas,"teaching aid, probably used in college art department",WCMA Reserve Collection,0.0
TL.83.5.20,,"Lawrence Hall, Rotunda, Circulation Desk",H.E. Kinsman,black & white photograph,mounted,WCMA-PHOTO,0.0
RC.22.59,1994-01-01,Pages of an unidentified book,Anonymous,typeset pages on paper,,WCMA Reserve Collection,0.0
